dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_6_distinct_10000_corr_8_skew_4, 1.1803758598324139, 2.0, 2.5049999999999955, 5.273999999999998, 25.2, 1.4768711528923073, 119916.098, 34.8678274935858, (0.998471996468951, 0.0), 99.20731449127197
cols_6_distinct_10000_corr_8_skew_6, 1.2469352947446968, 2.099783136262715, 3.0, 7.0, 14.0, 1.5373233816658, 201148.002, 39.85154069567777, (0.9978442769169283, 0.0), 98.84479665756226
cols_6_distinct_10000_corr_8_skew_8, 1.3333333333333333, 2.8622257053291538, 4.0, 9.627234848484846, 24.0, 1.7748343979578072, 378619.059, 59.501961270461855, (0.9962057470857115, 0.0), 98.10732960700989
cols_8_distinct_10_corr_2_skew_2, 1.2, 2.0, 2.5, 4.0, 6.0, 1.4425033491728878, 23.188, 38.46603684876192, (0.9996081401260446, 0.0), 11.436372995376587
cols_8_distinct_10_corr_2_skew_4, 1.1856158484065462, 2.0, 2.6074999999999933, 4.0, 5.5, 1.4242960064048578, 24.751, 36.63250478667222, (0.9996635915450619, 0.0), 11.412554025650024
cols_8_distinct_10_corr_2_skew_6, 1.2, 2.0, 2.5, 3.009999999999991, 6.0, 1.4150903775767978, 47.183, 35.5053493284359, (0.9995372822900656, 0.0), 11.5418860912323
cols_8_distinct_10_corr_2_skew_8, 1.1883445945945947, 2.0, 2.5, 4.0, 4.0, 1.3943742087615667, 26.951, 33.655821275908586, (0.9996464391916786, 0.0), 11.327080249786377
cols_8_distinct_10_corr_4_skew_2, 1.1851285189718483, 2.0, 3.0, 4.0, 5.0, 1.437369836827499, 47.706, 37.40547908673849, (0.9996739646404504, 0.0), 11.398658275604248
cols_8_distinct_10_corr_4_skew_4, 1.2, 2.0, 3.0, 4.0, 5.0, 1.4475645256486414, 67.875, 38.63571064701151, (0.9995561511017187, 0.0), 11.269469738006592
cols_8_distinct_10_corr_4_skew_6, 1.2, 2.0, 3.0, 4.0, 6.0, 1.4492582565585186, 41.108, 39.006673295279114, (0.9996401039766036, 0.0), 11.745383262634277
cols_8_distinct_10_corr_4_skew_8, 1.1889880952380953, 2.0, 2.5, 4.0, 6.0, 1.412051528969374, 40.385, 35.66761240360044, (0.9994613704155365, 0.0), 11.7455894947052
cols_8_distinct_10_corr_6_skew_2, 1.2, 2.0, 2.6033333333333304, 4.0, 6.0, 1.4383100315436048, 24.715, 36.982872659316065, (0.9996988210643177, 0.0), 11.606147050857544
cols_8_distinct_10_corr_6_skew_4, 1.1803614457831326, 2.0, 2.6666666666666665, 4.0, 7.0, 1.42726911051163, 35.32, 36.79300109755641, (0.9996217273604612, 0.0), 14.478408813476562
cols_8_distinct_10_corr_6_skew_6, 1.2, 2.0, 2.6666666666666665, 4.0, 6.0, 1.4366857839088087, 30.745, 36.50659025014355, (0.9997047506043939, 0.0), 11.738012075424194
cols_8_distinct_10_corr_6_skew_8, 1.1702898550724639, 2.0, 2.5, 3.339999999999994, 5.0, 1.3740657809612493, 72.958, 31.62629345444606, (0.9983805641977683, 0.0), 11.795171737670898
